IP Address,Computer Name,MAC Address,Network Adapter Company,User Text,Status,Workgroup,Broadcast Address,Port Number,Multiple Packets,Index
192.168.0.167,,60-CF-84-62-CD-7F,ASUSTek COMPUTER INC.,,On,,,,,58
192.168.0.168,DESKTOP-LDFQ20Q,30-9C-23-AA-C1-09,"Micro-Star INTL CO., LTD.",,On,,,,,72
192.168.0.169,,70-4F-57-A2-A5-F9,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,1
192.168.0.170,,30-9C-23-AA-C1-13,"Micro-Star INTL CO., LTD.",,On,,,,,59
192.168.0.173,,A8-42-A1-B4-54-F5,TP-Link Corporation Limited,,On,,,,,4
192.168.0.174,INSPECTORIABASI,BC-5F-F4-8C-52-51,ASRock Incorporation,,On,,,,,60
192.168.0.178,,34-41-5D-05-96-4B,Intel Corporate,,On,,,,,61
192.168.0.180,,04-7C-16-BD-C2-C6,"Micro-Star INTL CO., LTD.",,On,,,,,62
192.168.0.183,DESKTOP-4F4K5N0,18-C0-4D-5B-C2-71,"GIGA-BYTE TECHNOLOGY CO.,LTD.",,On,,,,,63
192.168.0.187,,18-A6-F7-2B-90-39,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,9
192.168.0.190,DESKTOP-5E8S45M,D8-CB-8A-A2-8A-EA,"Micro-Star INTL CO., LTD.",,On,,,,,10
192.168.0.199,,60-CF-84-62-C0-D3,ASUSTek COMPUTER INC.,,On,,,,,64
192.168.0.202,,08-BF-B8-36-6F-B6,ASUSTek COMPUTER INC.,,On,,,,,65
192.168.0.210,MACBOOKAIR-3122,30-68-93-55-80-B4,TP-Link Systems Inc.,,On,,,,,11
192.168.0.215,DESKTOP-P5R5I9J,30-9C-23-AA-BE-EE,"Micro-Star INTL CO., LTD.",,On,,,,,13
192.168.0.219,,08-BF-B8-36-6B-5A,ASUSTek COMPUTER INC.,,On,,,,,66
192.168.0.222,,BA-15-B8-47-1C-CB,,,On,,,,,14
192.168.0.224,,D8-5E-D3-29-5B-D6,"GIGA-BYTE TECHNOLOGY CO.,LTD.",,On,,,,,67
192.168.0.227,,30-9C-23-AA-BF-CB,"Micro-Star INTL CO., LTD.",,On,,,,,68
192.168.0.231,,30-9C-23-AA-BF-CF,"Micro-Star INTL CO., LTD.",,On,,,,,17
192.168.0.233,DESKTOP-4AE8SQ5,08-BF-B8-BC-18-1B,ASUSTek COMPUTER INC.,,On,,,,,18
192.168.0.234,,30-9C-23-AA-BF-37,"Micro-Star INTL CO., LTD.",,On,,,,,69
192.168.0.236,,C0-C1-C0-0D-68-62,"Cisco-Linksys, LLC",,On,,,,,20
192.168.0.238,,00-17-61-11-57-D8,Private,,On,,,,,21
192.168.0.240,DESKTOP-CPD32QI,30-9C-23-AA-BF-D5,"Micro-Star INTL CO., LTD.",,On,,,,,22
192.168.0.243,DESKTOP-IHLLLEQ,08-BF-B8-BC-18-1F,ASUSTek COMPUTER INC.,,On,,,,,23
192.168.0.246,,30-9C-23-AA-BF-D8,"Micro-Star INTL CO., LTD.",,On,,,,,70
192.168.0.247,,30-9C-23-AA-BF-DF,"Micro-Star INTL CO., LTD.",,On,,,,,71
