"CASTEL","IP","MAC","Port11100","Port5985","AuthWinRM","User","Hostname","Whoami","OS","Error","DurationSec"
"CASTEL-01","192.168.0.101","08-BF-B8-BE-76-66","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.101. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","1"
"CASTEL-02","192.168.0.102","08-BF-B8-36-6C-21","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.102. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,05"
"CASTEL-03","192.168.0.202","08-BF-B8-36-6F-B6","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.202. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,02"
"CASTEL-04","192.168.0.104","08-BF-B8-36-6E-6E","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.104. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-05","192.168.0.105","08-BF-B8-36-6E-D7","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.105. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,04"
"CASTEL-06","192.168.0.106","08-BF-B8-36-70-4F","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.106. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,07"
"CASTEL-07","192.168.0.107","08-BF-B8-36-6B-32","OK","NO","NO","","","","","","21,06"
"CASTEL-08","192.168.0.108","08-BF-B8-36-6C-04","OK","NO","NO","","","","","","21,06"
"CASTEL-09","192.168.0.109","08-BF-B8-36-6C-2A","OK","OK","NO","","","","","Error de conexión al servidor remoto 192.168.0.109. Mensaje de error: El cliente WinRM no puede procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts. Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,03"
"CASTEL-10","192.168.0.110","08-BF-B8-36-6B-67","OK","NO","NO","","","","","","21,03"
