"CASTEL","IP","MAC","Port11100","Port5985","AuthWinRM","User","Hostname","Whoami","OS","Error","DurationSec"
"CASTEL-28","192.168.0.180","04-7C-16-BD-C2-C6","OK","OK","OK","Admin","DESKTOP-2Q8VV2M","desktop-2q8vv2m\admin","Microsoft Windows 11 Pro","""'""","1,3"
"CASTEL-29","192.168.0.129","04-7C-16-BD-C2-CF","OK","OK","OK","Admin","DESKTOP-MIMVNEB","desktop-mimvneb\admin","Microsoft Windows 11 Pro","""'""","1,12"
"CASTEL-30","192.168.0.130","04-7C-16-BD-C3-2F","OK","OK","OK","Admin","DESKTOP-GPM0VQR","desktop-gpm0vqr\admin","Microsoft Windows 11 Pro","""'""","1,12"
"CASTEL-31","192.168.0.131","04-7C-16-BD-C2-9C","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.131. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,07"
"CASTEL-32","192.168.0.132","04-7C-16-BD-C2-94","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.132. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,05"
"CASTEL-34","192.168.0.134","08-BF-B8-A3-8A-CD","OK","OK","OK","Admin","DESKTOP-DV24P1L","desktop-dv24p1l\admin","Microsoft Windows 10 Pro","""'""","0,87"
"CASTEL-35","192.168.0.135","08-BF-B8-BE-76-FC","OK","OK","OK","Admin","DESKTOP-VTR4H1N","desktop-vtr4h1n\admin","Microsoft Windows 10 Pro","""'""","0,87"
"CASTEL-36","192.168.0.136","08-BF-B8-BE-77-0D","OK","OK","OK","Admin","DESKTOP-G29IPIP","desktop-g29ipip\admin","Microsoft Windows 10 Pro","""'""","0,85"
"CASTEL-37","192.168.0.137","08-BF-B8-A3-8B-95","OK","OK","OK","Admin","DESKTOP-KSK03OQ","desktop-ksk03oq\admin","Microsoft Windows 10 Pro","""'""","0,7"
"CASTEL-38","192.168.0.144","04-7C-16-BD-C2-AD","OK","OK","OK","Admin","DESKTOP-Q5EDQRQ","desktop-q5edqrq\admin","Microsoft Windows 10 Pro","""'""","0,99"
"CASTEL-39","192.168.0.139","08-BF-B8-BE-76-3A","OK","OK","OK","Admin","DESKTOP-CSR95DJ","desktop-csr95dj\admin","Microsoft Windows 10 Pro","""'""","1,44"
"CASTEL-40","192.168.0.157","30-9C-23-09-06-4C","OK","OK","OK","Usuario","USUARIO-PC","usuario-pc\usuario","Microsoft Windows 10 Pro","Error de conexión al servidor remoto 192.168.0.157. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","3,27"
"CASTEL-41","192.168.0.246","30-9C-23-AA-BF-D8","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.246. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,06"
