"Host","Status","User","Detail","PSComputerName","RunspaceId","PSShowComputerName"
"192.168.0.101","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","0df84e5d-899e-4f8c-9f20-ca54fd7248c1","False"
"192.168.0.102","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","cf4a71de-d6e1-46c0-83c8-584bb044866c","False"
"192.168.0.103","NO_5985","","WinRM cerrado","localhost","15a73226-51a1-451d-9b98-5b8cf140d53a","False"
"192.168.0.104","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","1f80c10c-b4e7-48c6-9c31-24ee62f1ee5b","False"
"192.168.0.105","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","7bb3f1b9-96d1-4950-a690-9f223991f09f","False"
"192.168.0.106","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","3a9ac56a-d819-42d2-9f90-e27a052011b6","False"
"192.168.0.107","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","9e318470-7548-4ffc-b0f0-358856252aef","False"
"192.168.0.108","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","89c0c9e6-d42d-4f2d-9c43-2fb08bffe617","False"
"192.168.0.109","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","8729c6e2-bf4d-4efb-98d6-a1b3e4ed19e6","False"
"192.168.0.110","FAIL","","En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 45 Carácter: 32
+         Log ""Reg failed $Path\\$Name: $($_.Exception.Message)""
+                                ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.

En C:\Users\Profesor\Documents\GitHub\VeyonScripts\deploy\kit_pendrive\JACKOPTIMIZED.ps1: 58 Carácter: 27
+         Log ""Clean failed $Path: $($_.Exception.Message)""
+                           ~~~~~~
La referencia de variable no es válida. El carácter ':' no va seguido de un carácter de nombre de variable válido. Considere la posibilidad de usar ${} para delimitar el nombre.","localhost","78796a82-7b3b-4f3c-89fe-1a3414a3a7c0","False"
"192.168.0.111","NO_5985","","WinRM cerrado","localhost","cd55f6b3-9f80-4fb2-95aa-8687691d1dc6","False"
