Computer,Name,MAC,Subnet,WakeStatus,WinRM5985,Veyon11100
192.168.0.168,DESKTOP-LDFQ20Q,30-9C-23-AA-C1-09,192.168.0.x,Unknown,NO,NO
192.168.0.169,,70-4F-57-A2-A5-F9,192.168.0.x,Unknown,NO,NO
192.168.0.170,,30-9C-23-AA-C1-13,192.168.0.x,Unknown,NO,NO
192.168.0.173,,A8-42-A1-B4-54-F5,192.168.0.x,Unknown,NO,NO
192.168.0.174,INSPECTORIABASI,BC-5F-F4-8C-52-51,192.168.0.x,Unknown,NO,NO
192.168.0.178,,34-41-5D-05-96-4B,192.168.0.x,Unknown,NO,NO
192.168.0.182,DESKTOP-GTNE6AH,C8-5B-76-EE-19-46,192.168.0.x,Unknown,NO,NO
192.168.0.183,DESKTOP-4F4K5N0,18-C0-4D-5B-C2-71,192.168.0.x,Unknown,NO,NO
192.168.0.187,,18-A6-F7-2B-90-39,192.168.0.x,Unknown,NO,NO
192.168.0.190,DESKTOP-5E8S45M,D8-CB-8A-A2-8A-EA,192.168.0.x,Unknown,NO,NO
192.168.0.199,,60-CF-84-62-C0-D3,192.168.0.x,Unknown,NO,NO
192.168.0.201,DESKTOP-TNGV5BQ,08-BF-B8-36-6F-B6,192.168.0.x,Unknown,OK,OK
192.168.0.210,MACBOOKAIR-3122,30-68-93-55-80-B4,192.168.0.x,Unknown,NO,NO
192.168.0.215,DESKTOP-P5R5I9J,30-9C-23-AA-BE-EE,192.168.0.x,Unknown,NO,NO
192.168.0.219,DESKTOP-V3VLFM1,08-BF-B8-36-6B-5A,192.168.0.x,Unknown,OK,OK
192.168.0.222,,BA-15-B8-47-1C-CB,192.168.0.x,Unknown,NO,NO
192.168.0.224,,D8-5E-D3-29-5B-D6,192.168.0.x,Unknown,NO,NO
192.168.0.227,,30-9C-23-AA-BF-CB,192.168.0.x,Unknown,NO,NO
192.168.0.231,,30-9C-23-AA-BF-CF,192.168.0.x,Unknown,NO,NO
192.168.0.233,DESKTOP-4AE8SQ5,08-BF-B8-BC-18-1B,192.168.0.x,Unknown,NO,NO
192.168.0.234,,30-9C-23-AA-BF-37,192.168.0.x,Unknown,NO,NO
192.168.0.236,,C0-C1-C0-0D-68-62,192.168.0.x,Unknown,NO,NO
192.168.0.238,,00-17-61-11-57-D8,192.168.0.x,Unknown,NO,NO
192.168.0.240,DESKTOP-CPD32QI,30-9C-23-AA-BF-D5,192.168.0.x,Unknown,NO,NO
192.168.0.243,DESKTOP-IHLLLEQ,08-BF-B8-BC-18-1F,192.168.0.x,Unknown,OK,OK
192.168.0.246,DESKTOP-A4GDG3H,30-9C-23-AA-BF-D8,192.168.0.x,Unknown,OK,OK
192.168.0.247,,30-9C-23-AA-BF-DF,192.168.0.x,Unknown,NO,NO
